Blog	four	looking	second	available	here	music	until	example	want	feature	how	series	re	wasn	service	needed	project	person	saying	best	never	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	full	inside	time	minute	team	along	love	working	following	most	such	data	so	years	course	didn	internet	million	quite	wrong	open	city	future	san	turned	note	take	ways	going	where	many	wants	bernardino	photos	former	single	technology	being	around	traffic	world	power	industry	favorite	image	her	am	having	original	tv	th	case	large	small	past	hours	social	via	company	learn	sense	huge	its	always	found	really	research	also	play	sometimes	set	see	last	whole	community	recent	amp	couple	d	continue	anything	into	line	posted	up	us	ago	results	send	try	video	let	great	makes	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	bring	should	hope	stuff	email	ve	site	less	web	five	become	does	chance	worth	above	told	thursday	word	work	interview	after	order	office	production	then	them	network	another	do	away	terms	com	launched	photo	thanks	night	security	post	months	way	war	update	together	global	gun	guy	change	usually	live	car	december	heard	means	write	product	use	still	non	half	now	year	space	shows	care	couldn	size	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	learned	family	ask	takes	taken	history	help	soon	actually	ceo	android	beyond	event	issue	reason	put	american	behind	off	mobile	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	look	while	used	user	game	some	step	visit	within	similar	e	go	facebook	click	camera	started	meet	control	links	software	including	front	keep	grow	exactly	need	able	she	problem	computer	state	key	well	page	twitter	home	he	stories	piece	star	friends	companies	likely	even	tips	ever	met	call	tell	room	give	answer	president	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	hit	said	were	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	dead	track	popular	super	down	pages	daily	finally	did	run	wait	making	may	man	maybe	talk	nbsp	group	interesting	rock	language	thing	think	first	long	little	anyone	paid	especially	shot	show	black	get	morning	enough	reading	across	according	mark	doesn	those	pay	same	running	money	either	trying	videos	general	again	students	important	u	public	search	two	share	needs	different	coming	through	someone	everyone	house	energy	hard	idea	done	least	part	believe	b	build	tool	services	fine	find	please	point	simple	simply	create	understand	bill	fun	itself	yesterday	spent	source	big	bit	google	often	back	entire	giving	others	later	themselves	watch	ll	day	text	taking	holiday	value	almost	center	thought	add	works	buy	minutes	special	starting	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	though	amazon	report	however	news	been	several	specific	everything	head	hear	check	no	focus	level	says	goes	iphone	today	thousands	information	happened	name	turn	place	given	any	ideas	sure	multiple	net	written	come	myself	good	week	without	when	seems	blog	there	follow	program	far	list	design	version	known	rather	short	might	wouldn	number	feel	story	store	kind	nothing	his	him	wrote	art	recently	attention	due	questions	customers	question	fast	called	nice	users	once	issues	apple	app	few	women	something	six	instead	choose	our	york	their	which	who	why	local	view	walk	perhaps	gets	other	know	because	lead	getting	own	apps	made	whether	book
Gawker	3	0	0	0	3	1	0	0	1	0	0	1	2	0	2	0	0	0	0	3	1	0	0	1	1	0	3	0	0	0	2	6	0	0	1	0	1	1	0	0	0	0	1	2	1	0	1	3	0	1	3	1	0	0	0	1	0	7	0	0	1	0	3	0	0	0	4	0	3	0	0	0	1	0	0	0	2	0	0	3	1	0	0	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	1	4	0	0	0	1	1	2	0	0	1	0	0	2	6	0	0	4	0	1	0	2	0	0	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	1	1	1	0	3	0	1	4	5	0	1	0	0	4	0	2	1	0	2	2	0	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	5	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	27	0	0	0	0	2	0	1	2	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	2	0	3	2	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	2	0	0	3	4	1	0	2	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	1	0	1	0	1	2	1	0	0	0	2	2	0	0	0	0	1	0	1	1	0	0	0	3	3	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	3	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	2	1	0	3	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	2	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	1	1	0	0	0	2	0	0	2	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	2	0	1	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	7	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	1	1	3	3	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0
ongoing by Tim Bray	0	0	0	0	4	3	0	0	0	0	1	0	13	1	0	0	0	0	0	2	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	1	0	0	0	0	2	4	0	1	0	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	5	5	1	3	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	4	0	0	0	1	0	2	1	1	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	1	0	3	0	0	0	3	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	6	0	0	1	1	3	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	5	0	1	5	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	3
The Viral Garden	5	10	3	0	26	6	0	4	34	0	59	9	4	8	5	2	4	5	4	8	10	1	8	2	5	6	36	2	1	7	1	73	2	1	3	0	25	1	5	4	4	1	23	24	8	0	70	6	3	14	0	0	1	4	2	0	1	3	1	0	7	6	11	15	23	3	0	0	0	3	0	18	7	9	4	5	6	2	1	5	26	3	1	1	9	8	3	5	1	4	134	9	13	8	3	1	12	6	12	9	1	10	2	8	0	24	14	1	10	5	3	6	6	1	1	10	2	0	24	16	5	5	1	4	0	10	13	3	10	1	1	2	2	14	8	7	0	3	0	3	2	17	2	3	3	20	11	5	1	0	11	5	5	1	1	3	0	1	17	0	8	1	0	0	22	50	6	8	39	3	1	22	3	0	2	3	0	41	5	28	0	2	4	0	0	0	3	5	3	0	1	1	7	9	2	20	14	0	2	22	18	6	2	1	5	0	9	8	2	16	2	2	2	26	122	4	2	9	2	31	13	11	14	4	3	1	25	5	0	3	1	0	1	11	3	10	0	0	0	28	1	10	4	0	1	6	0	0	1	3	8	0	5	11	11	6	2	8	1	8	1	4	1	20	0	0	2	3	0	15	10	3	0	14	7	0	8	0	1	1	3	2	0	8	2	1	5	0	1	5	14	8	71	1	17	3	0	0	11	29	7	18	2	3	2	1	11	1	10	2	0	9	6	10	5	7	1	15	7	0	2	0	4	14	16	2	3	6	2	13	33	0	0	3	3	7	69	20	9	1	1	1	1	1	1	1	7	1	2	1	0	1	11	0	0	4	12	1	4	2	0	5	4	8	0	13	30	26	8	3	0	1	1	0	5	1	24	0	5	8	0	2	2	3	10	3	16	0	3	2	7	0	2	3	0	5	0	0	3	8	8	6	4	12	4	14	9	0	0	1	15	3	6	7	1	2	6	6	2	1	9	3	6	2	6	11	13	1	2	7	0	0	0	13	8	0	9	19	1	4	11	4	9	0	17	21	0	4	0	11	3	3	11	10	1	2	1	1	0	1	13	1	1	30	0	3	56	1	5	14	5	3	3	9	6	13	8	2	4	6	8	5	0	0	1	1	10	10	1	0	1	3	7	19	2	5	0	3	0	4	0	6	4	10	2	3	2	8	6	11	0	0	5	7	3	16	7	2	40	3	46	41	17	0	1	12	0	0	1	1	1	7	3	5	2	2	1	0	2	8	3	6	0	6	8	2	6	19	0	0	4	2	10	3	2	1	0	22	0	10	0	5	0	6	2	72	21	15	24	0	5	0	0	1	17	18	40	2	7	25	0	7	1	0
SpikedHumor - Today's Videos and Pictures	0	0	6	0	102	2	1	0	1	1	5	0	2	0	0	0	2	1	1	6	1	0	0	2	0	1	5	0	0	0	2	3	1	1	2	0	4	0	1	0	1	0	1	2	1	0	2	2	0	0	0	1	1	0	0	2	2	0	0	0	1	0	0	0	2	0	0	2	0	1	0	1	4	0	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	7	0	2	1	0	3	3	0	4	4	4	1	0	0	0	1	1	0	0	2	0	5	13	2	2	1	0	0	15	2	1	1	0	0	0	1	1	0	1	0	1	0	4	1	0	1	1	0	0	2	1	0	0	0	0	2	1	0	0	0	1	1	2	0	3	1	0	0	2	3	1	3	2	1	0	6	0	0	0	1	2	3	0	2	0	0	1	0	2	2	1	0	2	4	3	1	1	0	0	0	2	1	1	0	0	3	0	0	0	2	1	0	4	0	2	1	0	1	0	0	4	0	1	4	0	0	0	0	1	0	0	0	2	0	4	0	1	0	0	1	0	0	0	0	0	2	3	3	0	3	0	0	0	0	0	1	0	0	2	0	0	1	5	3	0	0	1	9	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	3	3	3	0	1	0	1	0	0	7	1	0	0	0	0	0	5	0	3	0	1	1	0	0	0	0	2	1	0	0	2	2	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	3	1	1	2	2	2	0	0	0	3	3	2	0	1	3	0	0	0	2	0	0	3	1	4	2	2	0	1	2	0	3	0	2	2	2	1	0	0	0	2	5	2	4	1	0	0	1	1	0	1	2	0	0	1	1	0	0	4	0	1	0	0	3	1	1	0	1	0	0	1	0	1	2	2	0	0	0	1	0	7	0	0	0	3	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	102	0	1	0	0	2	0	0	0	0	1	0	0	0	3	0	1	3	0	0	2	2	2	5	1	3	0	0	0	3	1	1	0	5	0	2	2	0	0	0	1	0	2	3	1	0	1	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	2	2	0	0	4	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	3	0	1	0	0	9	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	5	3	1	1	2	0	0	0	1	0	3	0	3	4	1	1	0	0	2	2	4	3	0	0	0	1	0	0	0
Neil Gaiman's Journal	4	8	3	6	47	4	5	2	18	0	31	4	14	12	3	5	6	1	12	9	17	5	31	16	4	49	71	3	4	16	10	74	9	12	8	4	41	2	3	5	14	2	3	14	9	0	57	20	4	13	5	5	4	3	2	1	0	2	3	5	10	6	36	24	13	1	0	7	1	2	0	17	17	1	27	3	0	0	13	37	21	12	1	4	19	6	1	9	2	7	1	1	0	5	2	3	16	9	12	30	1	27	1	5	7	21	30	6	1	3	4	6	30	1	4	25	0	28	39	53	17	2	0	3	6	10	12	6	17	2	5	1	7	15	30	5	1	3	9	1	4	16	8	13	5	22	4	2	1	3	6	4	5	2	3	16	3	6	17	16	19	6	0	2	25	42	0	10	35	14	2	34	1	13	0	14	0	10	6	11	1	1	9	5	0	1	5	6	4	1	0	2	5	13	0	9	17	4	6	29	34	1	7	2	3	5	13	7	1	30	15	7	7	12	4	3	8	27	2	6	4	1	4	0	9	7	26	5	17	8	4	5	4	14	2	14	0	0	2	7	20	2	20	5	3	11	0	2	0	4	3	3	2	10	9	10	8	4	13	16	3	0	1	46	2	5	2	1	5	22	5	5	0	4	4	1	4	0	6	1	2	2	0	16	4	50	7	0	0	1	13	5	6	5	65	22	4	4	10	0	0	17	0	11	3	5	6	2	6	1	0	20	3	5	13	22	6	2	6	1	4	2	9	10	45	1	4	1	1	24	59	2	0	13	2	13	48	25	8	7	3	6	6	4	6	1	1	0	5	6	0	2	19	13	2	10	9	4	2	11	292	0	2	4	0	19	17	32	20	11	9	6	8	0	9	10	32	9	9	5	3	0	5	8	4	10	8	4	17	3	12	1	0	9	4	5	0	9	0	23	4	4	8	8	9	7	4	3	2	7	16	9	0	18	2	6	1	0	0	2	11	6	1	2	3	0	2	0	3	3	2	7	0	5	8	2	3	29	4	5	2	4	4	6	23	21	4	3	2	0	8	1	8	1	1	6	1	1	2	2	8	4	1	48	11	2	93	3	14	28	21	9	0	18	9	14	21	11	5	22	6	3	9	2	0	8	40	1	2	12	2	1	1	13	0	4	3	8	0	3	5	4	9	6	2	11	4	10	4	3	0	0	6	16	5	33	19	9	57	7	14	58	2	3	1	7	1	7	5	2	12	7	5	1	6	25	0	6	5	39	29	22	72	1	6	5	7	1	1	3	17	7	0	6	10	0	2	17	2	16	2	6	1	30	5	36	37	55	16	7	1	2	1	3	22	15	36	0	9	6	0	18	2	51
456 Berea Street	0	0	0	0	2	0	0	0	4	0	3	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	2	2	1	0	0	2	1	0	12	0	0	0	0	1	0	1	0	2	0	5	5	2	1	1	1	0	2	0	0	0	0	0	0	0	1	1	1	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	8	3	1	3	0	1	0	4	3	4	1	0	0	1	0	2	4	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	5	2	2	6	0	0	0	0	1	1	0	0	0	2	0	3	1	0	0	1	3	0	1	6	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	3	0	1	0	10	0	8	0	0	1	0	4	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	6	2	4	0	0	5	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	5	0	0	6	0	0	0	4	0	0	0	1	0	0	0	0	0	1	4	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	3	4	1	1	0	1	1	0	1	0	0	0	0	3	1	0	1	0	0	9	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	5	0	1	1	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	2	0	0	3	1	0	0	0	0	1	0	0	0	2	1	2	7	0	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	5	0	2	1	2	0	0	0	0	0	0	0	10	0	0	2	0	0	4	2	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	3	0	2	0	0	0	1	1	1	2	3	0	1	0	2	3	1	4	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	1	0	2	0	0	9	0	0	7	0	0	0	1	4	2	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	3	3	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0
Joel on Software	4	0	1	4	7	1	3	4	25	14	17	1	36	1	0	3	6	1	0	5	10	2	8	1	3	22	12	4	3	6	4	45	1	3	4	2	20	5	11	0	4	5	0	13	2	0	59	7	2	9	5	6	2	0	10	6	3	1	0	0	7	2	11	11	7	2	0	0	0	5	1	6	11	1	10	1	3	0	3	0	2	1	2	0	2	3	3	4	0	4	2	0	10	2	1	2	2	4	6	15	0	4	1	6	4	8	2	3	2	0	6	1	3	4	2	17	4	2	45	15	0	0	0	3	0	11	26	10	6	12	1	4	0	4	16	8	15	1	1	5	1	8	1	5	2	7	6	2	4	3	0	2	0	4	0	1	0	2	22	0	5	1	5	2	9	30	4	0	25	1	4	0	3	0	1	0	2	4	9	15	2	1	3	0	0	1	2	2	1	3	0	0	2	2	14	11	8	5	1	12	7	1	1	2	0	1	18	3	1	7	4	0	1	10	0	3	2	5	3	15	8	2	16	3	8	3	9	0	2	18	0	2	0	9	2	12	1	2	0	1	0	1	2	0	1	6	0	0	0	4	1	1	2	1	2	10	1	4	7	9	6	5	1	23	5	7	1	2	0	13	0	2	0	4	0	9	0	44	0	0	7	2	2	15	3	0	2	0	0	0	6	2	2	1	1	0	0	0	0	12	3	21	0	2	0	4	3	2	2	6	0	5	1	12	1	2	3	1	1	16	3	1	2	22	7	4	5	5	1	3	13	0	0	9	0	3	33	21	1	2	2	2	0	0	0	0	2	3	8	2	0	0	5	1	1	6	7	0	3	1	22	1	2	1	2	8	11	19	6	10	3	2	1	1	1	0	32	0	3	2	0	0	0	9	14	11	4	3	21	4	8	0	0	0	0	1	0	4	6	12	1	3	9	1	3	1	5	0	1	5	8	6	1	2	2	1	8	1	0	0	11	2	7	2	1	2	3	0	0	3	0	3	8	14	8	3	5	5	1	1	2	1	0	1	10	10	0	1	0	6	3	0	7	7	5	4	4	0	5	1	24	0	2	12	1	1	12	1	2	8	6	5	0	10	11	4	6	9	2	9	2	6	1	1	0	3	10	2	1	12	0	3	2	6	0	1	1	0	6	9	2	0	0	0	1	4	2	19	9	7	2	0	2	5	1	6	1	5	22	2	5	23	1	2	0	6	2	10	2	1	3	17	1	7	4	2	1	10	0	0	1	1	16	1	0	0	6	6	2	3	8	1	13	2	0	1	3	9	0	9	3	0	3	32	1	23	32	19	9	0	3	0	1	1	15	12	19	2	9	8	0	4	1	0
Boing Boing	1	0	0	0	1	0	1	0	1	0	6	4	4	0	0	1	3	0	0	1	1	1	0	0	0	0	4	1	0	1	2	13	0	0	1	3	4	0	2	0	0	1	0	1	0	2	9	3	1	1	0	1	1	0	2	1	0	2	0	0	0	0	0	4	1	0	2	0	0	1	0	1	1	0	3	2	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	4	1	4	0	0	5	0	2	0	1	4	0	0	1	2	2	0	0	0	0	1	1	1	0	2	0	0	8	3	1	2	0	1	3	3	2	0	0	1	0	1	1	2	6	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	3	0	0	3	0	3	0	3	0	1	5	0	1	1	0	0	1	0	1	0	0	1	3	0	3	1	0	2	2	5	0	3	0	1	1	0	0	0	2	0	3	2	1	0	6	1	0	1	0	0	0	1	0	1	3	4	0	1	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	1	0	0	1	0	0	0	0	3	2	1	1	0	0	1	2	1	3	0	0	2	1	0	2	1	2	4	0	0	2	2	0	1	1	0	3	3	0	0	1	2	0	0	1	1	0	0	0	0	0	2	5	1	4	1	0	0	2	1	1	11	3	1	1	1	1	1	4	0	3	0	1	2	0	0	0	2	3	0	0	1	0	0	0	0	0	0	1	0	3	4	1	1	0	1	9	6	0	0	1	0	1	6	4	0	0	1	0	0	2	0	0	0	0	1	3	0	0	2	0	0	3	1	2	0	0	0	1	0	0	2	1	1	4	2	0	2	1	0	2	0	7	4	0	1	2	0	0	4	1	2	1	0	0	2	0	0	0	0	1	1	0	2	1	0	3	0	1	2	0	1	2	2	3	2	1	0	1	1	0	1	0	2	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	2	0	1	1	0	1	0	0	2	1	0	4	1	2	1	1	1	0	2	0	1	0	0	2	2	0	0	0	2	0	0	3	1	1	3	2	0	4	0	0	5	2	3	0	0	0	0	0	1	0	2	1	0	2	0	0	0	1	4	2	0	7	1	0	2	0	0	2	1	1	0	0	0	1	2	3	0	1	0	0	1	1	0	1	1	3	2	1	0	4	0	1	0	0	1	0	0	0	0	1	1	2	1	1	1	1	0	12	1	1	2	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	3	0	1	0	1	2	12	4	8	1	0	0	0	1	0	0	1	1	0	1	1	0	4	1	6
flagrantdisregard	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	1	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	3	0	0	5	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Search Engine Watch	0	0	0	0	5	0	0	0	1	0	12	0	3	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	2	0	2	0	0	0	0	4	1	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	3	2	1	3	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	4	0	1	0	0	0	4	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	4	2	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	5	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	3	0	1	0	1	0	1	1	0	0	0	2	4	1	0	0	0	0	2	1	0	1	1	1	0	1	3	0	0	0	0	3	2	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	0	0	2	2	1	0	0	0	0	1	11	0	3	0	1	0	0	0	1	0	0	0	4	2	2	3	0	2	0	1	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	3	2	1	3	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	1	0	5	0	2	0	0	0	0	1	1	0	0	0	0	2	0	0	6	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	3	0	0	2	0	0	0	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	2	2	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	15	0	2	1	0	0	3	1	1	0	0	0	0	0	1	1	0	4	0	0	0	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	0	16	0	1	1	0	1	0	0	1	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	5	4	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	1	1	1	0	0	1	0	0	2	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	2	1	0	1	0	1	1	0	0	2	0	0	0	1	0	0	4	0	4	4	1	5	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0
